Codigo;Nome;Numero;;;;;;
E8;ALPI EAGLES;?;;;;;;
5A;ALPINE AVIATION;?;;;;;;
AL;ALSAIR S.A.;?;;;;;;
DY;ALYEMDA-DEMOCRATIC YEMEN AIRLINES;?;;;;;;
Z8;AMASZONAS LINEA AEREA;464;;;;;;
5G;AMBER AIRWAYS;?;;;;;;
AME;AMERICA AIR;228;;;;;;
HP;AMERICA WEST AIRLINES;?;;;;;;
AA;AMERICAM AIRLINES INC.;1;;;;;;
AA;AMERICAN AIRLINES INC;1;;;;;;
AA;AMERICAN AIRLINES INC.;1;;;;;;
8A;AMERICANA DE AVIACION;?;;;;;;
2V;AMTRAK;?;;;;;;
EH;ANA WINGS;?;;;;;;
CK;ANDESMAR LINEAS AEREAS;?;;;;;;
N3;ANIC AIRWAYS;?;;;;;;
AN;ANSETT AUSTRALIA;?;;;;;;
ZQ;ANSETT NEW ZEALAND;?;;;;;;
YY;ANY AIRLINE;?;;;;;;
IW;AOM FRENCH AIRLINES;?;;;;;;
7P;APA INTERNATIONAL AIR;?;;;;;;
Y5;ARAX AIRWAYS;?;;;;;;
F5;ARCHANA AIRWAYS;?;;;;;;
5F;ARCTIC CIRCLE AIR;?;;;;;;
FG;ARIANA AFGHAN AIRLINES;?;;;;;;
W3;ARIK AIR;169;;;;;;
XA;ARINC;?;;;;;;
R6;ARIZONA AIRWAYS INC.;?;;;;;;
IZ;ARKIA ISRAELI AIRLINES LTD.;169;;;;;;
JW;ARROW AIR;?;;;;;;
R7;Aserca Airlines;169;;;;;;
Y3;ASIA SERVICE AIRLINES;?;;;;;;
OZ;ASIANA AIRLINES;169;;;;;;
KP;ASKY;169;;;;;;
5O;ASL Airlines France;169;;;;;;
C5;ASOCIADOS LATINAMERICAS DE TRANSPORTE;?;;;;;;
ASC;ASSISTCARD ASSISTENCIA;342;;;;;;
V2;ASSOCIATED AIRLINES;?;;;;;;
ST;ASTA;270;;;;;;
9T;ATHABASKA AIRWAYS LTD.;?;;;;;;
7B;ATLANT - SOYUZ AIRLINES;169;;;;;;
L4;ATLANT - SV;?;;;;;;
3G;ATLANT SOYUZ AIRLINES;?;;;;;;
RC;ATLANTIC AIRWAYS;169;;;;;;
DH;ATLANTIC COAST AIRLINES;?;;;;;;
5Y;ATLAS AIR;?;;;;;;
KK;Atlasglobal;169;;;;;;
HB;AUGUSTA AIRLINES;?;;;;;;
UI;Auric Air;169;;;;;;
GR;AURIGNY AIR SERVICES;169;;;;;;
HZ;Aurora Airlines;169;;;;;;
AUS;AUS-AIR;?;;;;;;
AU;AUSTRAL;?;;;;;;
IM;AUSTRALIA ASIA AIRLINES;?;;;;;;
OS;AUSTRIAN AIRLINES;220;;;;;;
OG;AUSTRIAN AIRTRANSPORT;?;;;;;;
G6;AV ATLANTIC;?;;;;;;
OT;AVANT AIRLINES;?;;;;;;
VE;AVENSA;?;;;;;;
YK;Avia Traffic Company;169;;;;;;
AO;AVIACO;?;;;;;;
6A;AVIACSA;169;;;;;;
AV;AVIANCA;134;;;;;;
O6;AVIANCA;247;;;;;;
O6;AVIANCA BRAZIL;247;;;;;;
GU;AVIATECA;?;;;;;;
UZ;AVIATION ENTERPRISE TESIS;?;;;;;;
V8;AVIATRANS;?;;;;;;
M4;AVIOIMPEX;?;;;;;;
9V;AVIOR AIRLINES;169;;;;;;
DF;AVIOSARDA;?;;;;;;
8D;AWOOD AIR LTD.;?;;;;;;
J2;AZERBAIJAN HAVA YOLLARI;169;;;;;;
ZE;AZTECA;?;;;;;;
AD;AZUL;335;;;;;;
AD;AZUL LINHAS AEREAS;335;;;;;;
AD;AZUL LINHAS AEREAS (BSP);577;;;;;;
UP;BAHAMASAIR;169;;;;;;
X3;BAIKAL AIRLINES;?;;;;;;
LZ;BALKAN-BULGARIAN AIRLINES;?;;;;;;
PG;BANGKOK AIRWAYS;169;;;;;;
V9;BASHKIR AIRLINES;?;;;;;;
6B;BAXTER AVIATION;?;;;;;;
JV;BEARSKIN AIRLINES;?;;;;;;
JD;Beijing Capital Airlines;169;;;;;;
Z9;BEK AIR;169;;;;;;
B2;BELAVIA BELARUSSIAN AIRLINES;169;;;;;;
B3;BELLVIEW AIRLINES;?;;;;;;
CH;BEMIDJI AIRLINES;?;;;;;;
8E;BERING AIR INC.;?;;;;;;
J8;BERJAYA AIR;169;;;;;;
BG;BIMAN BANGLADESH AIRLINES;169;;;;;;
